record_id,muni_name,hybrid,veh_type,fuel,year,make_name,q1_2008,q2_2008,q3_2008,q4_2008,mi_per_day,mpg_adj,gal_perday,co2eqv_day,curbwt,msrp,mpg2008,veh_zip
1271348,BOSTON,0,Car,Gasoline,2008,Honda,0,0,0,1,0,21.00,0.00,0.00,3600,29000,21,02114
13998692,BOSTON,0,SUV,Gasoline,2001,Mitsubishi,0,0,0,1,7.99,11.91,0.67,6.08,4500,32000,14,02125
1989546,BOSTON,0,Car,Gasoline,2007,Toyota,0,0,0,1,49.93,30.73,1.62,14.71,2300,14000,32,02124
14903613,BOSTON,0,Truck,Gasoline,2006,Dodge,0,0,0,1,43.27,15.06,2.87,26.02,4300,21000,16,02128
11321139,BOSTON,0,SUV,Gasoline,2000,Ford,1,0,0,0,5.47,11.06,0.49,4.48,5100,33000,13,02115
7709594,BOSTON,0,Car,Gasoline,1998,Honda,1,1,1,0,22.36,22.88,0.98,8.85,2300,13000,28,02118
389476,BOSTON,0,Van,Gasoline,2008,Toyota,0,1,0,0,0,19.00,0.00,0.00,4200,25000,19,02116
13749400,BOSTON,0,SUV,Gasoline,2000,Jeep,0,1,1,1,0,12.26,0.00,0.00,4000,35000,15,02116
4313055,BOSTON,0,Car,Gasoline,2007,Toyota,0,1,1,1,57.54,26.89,2.14,19.38,2700,17000,28,02128
13205049,BOSTON,0,Car,Gasoline,2003,Subaru,1,1,1,1,15.16,18.23,0.83,7.53,3100,19000,21,02116
3952331,BOSTON,0,Car,Gasoline,2008,Subaru,1,1,1,1,74.03,22.54,3.28,29.74,3200,22000,23,02128
15301859,BOSTON,0,Car,Gasoline,1998,Toyota,1,1,1,0,106.6,18.79,5.67,51.37,3100,20000,23,02128
4928801,BOSTON,0,Car,Gasoline,2007,Nissan,0,1,0,0,43.5,27.44,1.59,14.36,2700,15000,28,02128
1470103,BOSTON,0,Car,Gasoline,2005,Ford,0,1,1,1,32.49,19.37,1.68,15.19,3300,22000,21,02125
2759071,BOSTON,0,Car,Gasoline,2003,Honda,0,0,0,1,23.71,25.69,0.92,8.36,2500,16000,29,02115
8088767,BOSTON,0,Truck,Gasoline,1996,Ford,0,0,0,1,29.07,11.54,2.52,22.82,3900,17000,15,02127
3903676,BOSTON,0,Car,Gasoline,1997,Chevrolet,0,0,1,1,13.4,16.48,0.81,7.36,3600,19000,21,02127
13642639,BOSTON,0,SUV,Gasoline,2003,Toyota,0,0,1,1,0,19.49,0.00,0.00,2900,19000,22,02127
6959600,BOSTON,0,Car,Gasoline,1991,Volvo,1,1,1,0,11.35,14.90,0.76,6.90,2900,20000,21,02118
1362509,BOSTON,0,Car,Gasoline,2007,Nissan,1,1,1,1,39.41,20.58,1.92,17.34,3600,30000,21,02127
10876507,BOSTON,0,Car,Gasoline,2005,Ford,0,0,0,1,0,18.98,0.00,0.00,3300,22000,21,02108
2933340,BOSTON,0,Car,Gasoline,1993,Volvo,0,0,1,1,2.93,15.20,0.19,1.75,3000,22000,21,02115
5969076,BOSTON,0,SUV,Gasoline,1999,Honda,0,0,0,1,44.13,13.89,3.18,28.77,3900,28000,17,02128
14313658,BOSTON,0,Car,Gasoline,2003,Bmw,0,0,0,1,36.54,17.36,2.10,19.06,3600,33000,20,02110
1784652,BOSTON,0,Car,Gasoline,2001,Honda,0,0,0,1,8.7,24.67,0.35,3.19,2500,15000,29,02128
118955,BOSTON,0,Car,Gasoline,2001,Dodge,1,1,1,1,21.48,17.36,1.24,11.20,3500,22000,20,02122
1178594,BOSTON,0,Car,Gasoline,1996,Jaguar,0,0,1,1,14.05,14.12,0.99,9.01,4100,57000,18,02124
15043853,BOSTON,0,Car,Gasoline,1994,Toyota,0,0,0,1,0,14.90,0.00,0.00,3100,20000,21,02125
14206888,BOSTON,0,Car,Gasoline,2005,Toyota,1,1,0,0,19.73,23.53,0.84,7.59,3200,21000,25,02120
2765460,BOSTON,0,Car,Gasoline,2000,Volkswagen,0,0,0,1,36.07,16.67,2.16,19.59,3200,24000,20,02116
52132,BOSTON,0,Car,Gasoline,2005,Mini,0,0,0,1,29.74,24.90,1.19,10.81,2500,18000,27,02114
13495688,BOSTON,0,Car,Gasoline,2003,Honda,0,0,1,1,11.04,22.15,0.50,4.52,3100,23000,25,02119
10714336,BOSTON,0,Car,Gasoline,1991,Honda,0,0,0,1,20.46,15.29,1.34,12.11,2900,17000,22,02122
15284233,BOSTON,0,Car,Gasoline,2003,Chevrolet,0,0,0,1,19.84,18.23,1.09,9.85,3100,19000,21,02128
15397020,BOSTON,0,SUV,Gasoline,2000,Jeep,0,0,1,1,34.73,14.17,2.45,22.19,3300,22000,17,02118
6244748,BOSTON,0,Car,Gasoline,2001,Saturn,0,1,1,1,52.26,20.84,2.51,22.71,2900,15000,25,02124
10785370,BOSTON,0,Van,Gasoline,1996,Mazda,0,0,0,1,44.93,13.07,3.44,31.12,3900,23000,17,02124
1891049,BOSTON,0,Car,Gasoline,1997,Honda,0,0,1,1,19.72,21.97,0.90,8.13,2400,15000,28,02127
8823039,BOSTON,0,SUV,Gasoline,2007,Jeep,1,0,0,0,21.7,16.66,1.30,11.80,3900,24000,17,02118
4827778,BOSTON,0,Car,Gasoline,1993,Mazda,0,0,1,1,1.41,18.82,0.07,0.68,2400,11000,26,02115
7386344,BOSTON,0,Van,Gasoline,2005,Toyota,0,0,1,1,43.98,16.60,2.65,23.99,4300,29000,18,02124
4254429,BOSTON,0,Van,Gasoline,1999,Dodge,0,0,1,1,12.03,11.67,1.03,9.33,4800,21000,14,02114
3124586,BOSTON,0,Car,Gasoline,2007,Bmw,0,1,1,1,42.72,19.21,2.22,20.14,3600,35000,20,02127
1905359,BOSTON,0,Car,Gasoline,2005,Toyota,1,1,1,1,18.41,29.18,0.63,5.71,2500,15000,31,02118
14285923,BOSTON,0,Van,Gasoline,2000,Dodge,0,0,0,1,22.57,15.84,1.43,12.90,3800,23000,19,02121
7521135,BOSTON,0,Car,Gasoline,2009,Dodge,0,0,0,1,0,23.00,0.00,0.00,3300,21000,23,02122
5327144,BOSTON,0,Car,Gasoline,2006,Scion,0,1,1,1,29.91,26.35,1.13,10.28,2400,15000,28,02119
9756840,BOSTON,0,Car,Gasoline,1993,Geo,0,0,1,1,0,18.09,0.00,0.00,2400,11000,25,02215
3426983,BOSTON,0,SUV,Gasoline,2003,Dodge,1,0,0,0,28.27,13.56,2.08,18.88,4600,34000,15,02119
